,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
92411,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:54.775Z,2020-09-24T11:52:54.775Z,0.0
92412,rp,528,0x0007,3187937661,0x00000000,2020-09-24T11:52:54.854Z,2020-09-24T11:52:54.854Z,0.0
92413,rp,529,0x0007,1051454799,0x00000000,2020-09-24T11:52:54.854Z,2020-09-24T11:52:54.854Z,0.0
92414,rp,527,0x0007,3198142155,0x00000000,2020-09-24T11:52:54.857Z,2020-09-24T11:52:54.857Z,0.0
92415,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:55.003Z,2020-09-24T11:52:55.003Z,0.0
92416,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:55.003Z,2020-09-24T11:52:55.003Z,0.0
92417,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:55.003Z,2020-09-24T11:52:55.003Z,0.0
92418,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:55.049Z,2020-09-24T11:52:55.049Z,0.0
92419,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:55.049Z,2020-09-24T11:52:55.049Z,0.0
92420,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:55.049Z,2020-09-24T11:52:55.049Z,0.0
92421,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:55.049Z,2020-09-24T11:52:55.049Z,0.0
92422,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:55.075Z,2020-09-24T11:52:55.075Z,0.0
92423,rp,529,0x0007,1051185217,0x00000000,2020-09-24T11:52:55.102Z,2020-09-24T11:52:55.102Z,1.0
92424,rp,528,0x0007,3188544782,0x00000000,2020-09-24T11:52:55.105Z,2020-09-24T11:52:55.105Z,1.0
92425,rp,527,0x0007,3198145010,0x00000000,2020-09-24T11:52:55.107Z,2020-09-24T11:52:55.107Z,1.0
92426,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:55.303Z,2020-09-24T11:52:55.303Z,1.0
92427,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:55.303Z,2020-09-24T11:52:55.303Z,1.0
92428,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:55.303Z,2020-09-24T11:52:55.303Z,1.0
92429,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:55.349Z,2020-09-24T11:52:55.349Z,1.0
92430,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:55.349Z,2020-09-24T11:52:55.349Z,1.0
92431,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:55.349Z,2020-09-24T11:52:55.349Z,1.0
92432,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:55.349Z,2020-09-24T11:52:55.349Z,1.0
92433,rp,529,0x0007,1051185152,0x00000000,2020-09-24T11:52:55.352Z,2020-09-24T11:52:55.352Z,1.0
92434,rp,528,0x0007,3188630634,0x00000000,2020-09-24T11:52:55.353Z,2020-09-24T11:52:55.353Z,1.0
92435,rp,527,0x0007,3198145954,0x00000000,2020-09-24T11:52:55.355Z,2020-09-24T11:52:55.355Z,1.0
92436,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:55.375Z,2020-09-24T11:52:55.375Z,1.0
92437,rp,529,0x0007,1051184864,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92438,rp,527,0x0007,3198146589,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92439,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92440,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92441,rp,528,0x0007,3188627348,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92442,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:55.603Z,2020-09-24T11:52:55.603Z,1.0
92443,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:55.649Z,2020-09-24T11:52:55.649Z,1.0
92444,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:55.649Z,2020-09-24T11:52:55.649Z,1.0
92445,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:55.649Z,2020-09-24T11:52:55.649Z,1.0
92446,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:55.649Z,2020-09-24T11:52:55.649Z,1.0
92447,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:55.675Z,2020-09-24T11:52:55.675Z,1.0
92448,rp,529,0x0007,1051185085,0x00000000,2020-09-24T11:52:55.853Z,2020-09-24T11:52:55.853Z,1.0
92449,rp,528,0x0007,3188627277,0x00000000,2020-09-24T11:52:55.854Z,2020-09-24T11:52:55.854Z,1.0
92450,rp,527,0x0007,3198147012,0x00000000,2020-09-24T11:52:55.856Z,2020-09-24T11:52:55.856Z,1.0
92451,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:55.903Z,2020-09-24T11:52:55.903Z,1.0
92452,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:55.903Z,2020-09-24T11:52:55.903Z,1.0
92453,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:55.903Z,2020-09-24T11:52:55.903Z,1.0
92454,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:55.949Z,2020-09-24T11:52:55.949Z,1.0
92455,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:55.949Z,2020-09-24T11:52:55.949Z,1.0
92456,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:55.949Z,2020-09-24T11:52:55.949Z,1.0
92457,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:55.949Z,2020-09-24T11:52:55.949Z,1.0
92458,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:55.975Z,2020-09-24T11:52:55.975Z,1.0
92459,rp,529,0x0007,1051184767,0x00000000,2020-09-24T11:52:56.102Z,2020-09-24T11:52:56.102Z,1.0
92460,rp,528,0x0007,3188627081,0x00000000,2020-09-24T11:52:56.107Z,2020-09-24T11:52:56.107Z,1.0
92461,rp,527,0x0007,3198146970,0x00000000,2020-09-24T11:52:56.107Z,2020-09-24T11:52:56.107Z,1.0
92462,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:56.203Z,2020-09-24T11:52:56.203Z,1.0
92463,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:56.203Z,2020-09-24T11:52:56.203Z,1.0
92464,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:56.203Z,2020-09-24T11:52:56.203Z,1.0
92465,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:56.249Z,2020-09-24T11:52:56.249Z,1.0
92466,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:56.249Z,2020-09-24T11:52:56.249Z,1.0
92467,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:56.249Z,2020-09-24T11:52:56.249Z,1.0
92468,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:56.249Z,2020-09-24T11:52:56.249Z,1.0
92469,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:56.275Z,2020-09-24T11:52:56.275Z,1.0
92470,rp,529,0x0007,1051185038,0x00000000,2020-09-24T11:52:56.352Z,2020-09-24T11:52:56.352Z,1.0
92471,rp,528,0x0007,3188627525,0x00000000,2020-09-24T11:52:56.355Z,2020-09-24T11:52:56.355Z,1.0
92472,rp,527,0x0007,3198147055,0x00000000,2020-09-24T11:52:56.357Z,2020-09-24T11:52:56.357Z,1.0
92473,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:56.503Z,2020-09-24T11:52:56.503Z,1.0
92474,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:56.503Z,2020-09-24T11:52:56.503Z,1.0
92475,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:56.503Z,2020-09-24T11:52:56.503Z,1.0
92476,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:56.549Z,2020-09-24T11:52:56.549Z,1.0
92477,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:56.549Z,2020-09-24T11:52:56.549Z,1.0
92478,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:56.549Z,2020-09-24T11:52:56.549Z,1.0
92479,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:56.549Z,2020-09-24T11:52:56.549Z,1.0
92480,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:56.575Z,2020-09-24T11:52:56.575Z,1.0
92481,rp,529,0x0007,1051184727,0x00000000,2020-09-24T11:52:56.602Z,2020-09-24T11:52:56.602Z,1.0
92482,rp,528,0x0007,3188628269,0x00000000,2020-09-24T11:52:56.603Z,2020-09-24T11:52:56.603Z,1.0
92483,rp,527,0x0007,3198147660,0x00000000,2020-09-24T11:52:56.605Z,2020-09-24T11:52:56.605Z,1.0
92484,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:56.803Z,2020-09-24T11:52:56.803Z,1.0
92485,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:56.803Z,2020-09-24T11:52:56.803Z,1.0
92486,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:56.803Z,2020-09-24T11:52:56.803Z,1.0
