,quality,dx,dy,da
174,1.0,-0.17854213238019337,-0.13673354511546598,-0.25548867325232233
175,1.0,1.7959777994902768,1.0027330387319389,1.3565118497139015
176,1.0,3.6973673635269284,0.038569006243792135,2.2064582169445304
177,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
178,1.0,-0.5076287876930623,0.09700319003066432,-0.1783895581758568
179,1.0,1.7959777994902768,-0.604207015410444,0.888496102387817
180,1.0,-0.3613680519984539,-0.019865177543080165,-0.2403867184806662
181,1.0,-0.6904547073113227,0.09700319003066432,-0.19108041283430446
182,0.0,-0.6173243394640185,-0.5165557397302715,-0.6846639857826048
183,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
184,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
185,1.0,1.7228474316530868,-0.22438482079645367,0.8700999099023691
186,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
187,1.0,1.7228474316530868,-0.48733864783683534,0.8425593809296863
188,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
189,1.0,-0.3613680519984539,0.8566475792545691,0.4582545858929302
190,1.0,0.0042837872380669766,0.009351914351035282,-0.08382172405266317
191,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
192,1.0,-0.4710636037694102,0.18465446571165206,-0.10222022397132653
193,0.0,-0.6538895233876706,-0.5749899235170078,-0.7378077305965469
194,1.0,1.7594126155716818,-0.5457728316237076,0.8647905743859464
195,1.0,1.9422385351983709,0.7105621197921437,1.296407034984322
196,1.0,-0.25167250022749765,0.009351914351035282,-0.18531128771735728
197,1.0,2.1250644548082027,-0.42890446404982724,1.113897410678471
198,1.0,1.7228474316530868,-0.5165557397302715,0.8412881111199345
199,0.0,-0.6538895233876706,-0.604207015410444,-0.7477763670629086
200,0.0,-0.6173243394640185,-0.42890446404982724,-0.6189277990745048
201,1.0,-0.39793323592210594,0.1554373738175366,-0.11303380189726418
202,0.0,-0.6538895233876706,-0.5749899235170078,-0.7378077305965469
203,1.0,2.1250644548082027,0.4768253846446545,1.3107971476194709
204,1.0,0.0042837872380669766,-0.019865177543080165,-0.10150852293799671
205,0.0,-0.6173243394640185,-0.45812155594394266,-0.6416504016821333
206,1.0,-0.5807591555403665,-0.13673354511546598,-0.37791935794786113
207,1.0,1.7959777994902768,-0.39968737215707045,0.8971230240409391
208,0.0,-0.5807591555403665,-0.5165557397302715,-0.6690265033518398
209,1.0,-0.39793323592210594,0.12622028192477963,-0.1361185177342483
210,1.0,2.0884992708896077,-0.31203609647608277,1.0995989092499638
211,1.0,-0.434498419845758,0.06778609813790758,-0.189645305625025
212,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
213,1.0,-0.6173243394640185,0.09700319003066432,-0.18903131664426942
214,1.0,1.7959777994902768,-0.604207015410444,0.888496102387817
215,0.0,-0.6904547073113227,-0.5749899235170078,-0.7479850970778827
216,1.0,0.0042837872380669766,-0.1075164532227092,-0.1519180785733661
217,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
218,0.0,-0.5807591555403665,-0.42890446404982724,-0.6094899398575295
219,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
220,1.0,1.7959777994902768,3.3693174820914344,2.9158588213149867
221,1.0,-0.6173243394640185,0.06778609813790758,-0.21315580629794126
222,0.0,-0.6173243394640185,-0.45812155594394266,-0.6416504016821333
223,0.0,-0.6904547073113227,-0.5165557397302715,-0.6995586027958471
224,0.0,-0.6904547073113227,-0.5457728316237076,-0.7237718499369212
225,1.0,-0.21510731630384544,0.09700319003066432,-0.1100086268384838
226,1.0,-0.6904547073113227,-0.604207015410444,-0.7721983442189568
227,0.0,-0.6904547073113227,-0.48733864783683534,-0.675345355654773
228,0.0,-0.6538895233876706,-0.5165557397302715,-0.6955630716466182
229,1.0,-0.5076287876930623,0.009351914351035282,-0.249263459293684
230,0.0,-0.6538895233876706,-0.5457728316237076,-0.7179622094317393
