;drop_white_pos_y;drop_white_pos_z;drop_white_pos_x;drop_black_pos_x;drop_black_pos_y;drop_black_pos_z;max_belt;quality
30;-0.089111536;-1.208195232;-1.263878797;-1.263691316;0.650371115;-0.650565699;0;1
31;-0.694985724;-1.424981512;-1.195243299;-1.195286212;0.732126247;-1.152820355;0;0
32;-0.693614807;-1.424813284;-1.195108404;-1.195185402;0.733527238;-0.92837369;0;0
33;-0.689331701;-1.435684699;-1.195393987;-1.195523288;0.734849541;-0.504124084;0;0
34;0.29422343;-0.964033833;-1.227130669;-1.226325408;0.649485081;-1.505536661;0;1
35;0.294953156;-0.996695202;-1.221007223;-1.220193494;0.649411258;-1.519752175;0;1
36;-0.273384351;-1.273126396;-1.246833415;-1.246836277;0.65569795;-0.844787208;0;1
37;-0.239089656;-1.253989599;-1.246845885;-1.246855138;0.656197508;-0.833996248;0;1
38;-0.418604041;-1.377829316;-1.23728619;-1.237427801;0.647891203;-1.073088542;0;1
39;-0.167864735;-1.228254695;-1.263708067;-1.263627473;0.65016451;-0.604303011;0;1
40;-0.671093676;-1.375720484;-1.189472672;-1.189534841;0.750488015;-0.982379178;0;0
41;-0.690607436;-1.437360067;-1.195274792;-1.195388687;0.733809004;-0.664601469;0;0
42;-0.705569051;-1.537065071;0.813124255;0.81312489;-1.693181079;-1.766581006;0;1
43;-0.688209767;-1.437095669;-1.195356098;-1.195486466;0.734891137;-0.507183788;0;0
44;-0.0438627;-1.183680051;-1.273642696;-1.273413576;0.649864974;-0.597666803;0;1
45;-0.683933052;-1.408691012;-1.204254503;-1.204276444;0.74025733;-1.247005495;0;0
46;-1.243579719;-2.355638092;0.533759954;0.533759185;-2.503036012;-2.657708587;0;1
47;-0.682933014;-1.410039195;-1.15669521;-1.156712871;0.742347487;-1.282276651;0;0
48;-0.025125463;-1.153656423;-1.283308401;-1.283067559;0.659399559;-0.629895648;0;1
49;-0.688170857;-1.439975176;-1.195386982;-1.19551855;0.734759723;-0.552980436;0;0
50;-0.682744144;-1.411422502;-1.189643577;-1.189660803;0.742757479;-1.282693218;0;0
51;-0.684679258;-1.416158023;-1.204429741;-1.204477144;0.742983566;-1.116609045;0;0
52;-0.282430815;-1.341414021;-1.227352469;-1.22735509;0.642166396;-0.949949591;0;1
53;0.091902455;-1.107118389;-1.254165825;-1.253679781;0.649381355;-1.569909486;0;1
54;-0.69625306;-1.425115533;-1.195151668;-1.195207647;0.733764512;-1.022647262;0;0
55;-0.689936314;-1.437269648;-1.18592591;-1.186040669;0.735722441;-0.665605752;0;0
56;-0.683142764;-1.440440293;-1.171375245;-1.171374533;0.734745541;-1.446054516;0;0
57;-0.690009695;-1.435707521;-1.195348984;-1.195456034;0.734278069;-0.730880993;0;0
58;-0.695158253;-1.417451247;-1.195379189;-1.195367622;0.733899879;-1.530424768;0;0
59;-0.13128854;-1.229031354;-1.253975377;-1.25384407;0.650052783;-0.654677064;0;1
60;-0.184142775;-1.235672031;-1.253938261;-1.253874417;0.650964908;-0.752182871;0;1
61;-0.690151206;-1.437399791;-1.195224649;-1.195339933;0.734747983;-0.615741135;0;0
62;-0.694506638;-1.420148022;-1.195402707;-1.195390628;0.734049395;-1.533456382;0;0
63;-0.68543681;-1.40999032;-1.204401511;-1.204417788;0.739892984;-1.282082361;0;0
64;-0.000270745;-1.162570816;-1.263868036;-1.263494386;0.648605149;-1.598124415;0;1
65;-0.615179769;-1.702034649;0.806922718;0.806920033;-1.584874906;-1.881815582;0;1
66;-0.28825747;-1.323921372;-1.22701529;-1.227032303;0.64184598;-0.8180165;0;1
67;-0.689776181;-1.437582517;-1.209171652;-1.209277534;0.736035412;-0.656156224;0;0
68;-0.688780499;-1.433072979;-1.195385595;-1.195372633;0.73709836;-1.551005401;0;0
69;-0.684213547;-1.43735845;-1.195342581;-1.195335448;0.734713508;-1.516485422;0;0
